,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost
0,B-BL,64,2.17,18.95,47.0,0.7111111111111111,66.09375,139.0,1213.0,53.0,,,0.0,6.0,13.0
1,B-BS,50,1.61,14.95,64.0,0.5555555555555556,115.19999999999999,80.0,748.0,41.0,,,0.0,0.0,0.0
2,B-NL,59,2.17,18.95,107.0,0.6555555555555556,163.22033898305085,128.0,1118.0,49.0,,,0.0,0.0,0.0
3,B-NS,37,1.61,14.95,404.0,0.4111111111111111,982.7027027027027,60.0,553.0,31.0,,,0.0,0.0,0.0
4,B-PL,67,2.17,18.95,147.0,0.7444444444444445,197.46268656716418,145.0,1270.0,55.0,,,0.0,0.0,0.0
5,B-PS,62,1.61,14.95,277.0,0.6888888888888889,402.0967741935484,100.0,927.0,51.0,,,0.0,0.0,0.0
6,FB-NXL,2430,3.27,22.95,652.0,27.0,24.14814814814815,7946.0,55768.0,2004.0,2024-08-19,1500.0,1500.0,0.0,0.0
7,FB-NL,1383,1.58,18.95,-18.0,15.366666666666667,-1.1713665943600868,2185.0,26208.0,1141.0,2024-08-19,300.0,300.0,859.0,1357.0
8,FB-NS,674,1.3,14.95,831.0,7.488888888888889,110.96439169139465,876.0,10076.0,556.0,2024-08-19,300.0,300.0,0.0,0.0
9,FB-PXL,3275,3.27,22.95,12.0,36.388888888888886,0.3297709923664122,10709.0,75161.0,2701.0,2024-08-19,1500.0,1500.0,1189.0,3888.0
10,FB-PL,1432,1.58,18.95,811.0,15.911111111111111,50.970670391061454,2263.0,27136.0,1181.0,2024-08-19,300.0,300.0,70.0,111.0
11,FB-PS,845,1.3,14.95,815.0,9.38888888888889,86.80473372781064,1098.0,12633.0,697.0,2024-08-19,300.0,300.0,0.0,0.0
12,FD-N,72,2.86,13.95,115.0,0.8,143.75,206.0,1004.0,59.0,,,0.0,0.0,0.0
13,FD-P,70,2.86,13.95,118.0,0.7777777777777778,151.71428571428572,200.0,976.0,58.0,,,0.0,0.0,0.0
14,FDN-N,658,2.33,16.95,-4.0,7.311111111111111,-0.547112462006079,1533.0,11153.0,543.0,2024-09-01,200.0,200.0,347.0,809.0
15,FDN-P,738,2.33,16.95,-29.0,8.2,-3.536585365853659,1720.0,12509.0,609.0,2024-09-01,200.0,200.0,438.0,1021.0
16,FS-NL,245,3.89,22.95,234.0,2.7222222222222223,85.95918367346938,953.0,5623.0,202.0,,,0.0,0.0,0.0
17,FS-NS,200,3.51,18.95,354.0,2.2222222222222223,159.29999999999998,702.0,3790.0,165.0,,,0.0,0.0,0.0
18,FS-PL,206,3.89,22.95,314.0,2.2888888888888888,137.18446601941747,801.0,4728.0,170.0,,,0.0,0.0,0.0
19,FS-PS,222,3.51,18.95,249.0,2.466666666666667,100.94594594594594,779.0,4207.0,183.0,,,0.0,0.0,0.0
20,FBX-N,773,3.57,22.95,289.0,8.588888888888889,33.64812419146184,2760.0,17740.0,638.0,2024-08-19,500.0,500.0,0.0,0.0
21,FBX-P,848,3.57,22.95,144.0,9.422222222222222,15.283018867924527,3027.0,19462.0,699.0,2024-08-19,500.0,500.0,55.0,196.0
22,FST-C,597,2.7,18.95,319.0,6.633333333333334,48.09045226130653,1612.0,11313.0,492.0,2024-08-19,600.0,600.0,0.0,0.0
23,FST-N,624,2.7,18.95,444.0,6.933333333333334,64.03846153846153,1685.0,11825.0,515.0,2024-08-19,600.0,600.0,0.0,0.0
24,FL-C,47,,,,0.5222222222222223,,,,39.0,,,0.0,,
25,FL-N,59,3.65,22.95,,0.6555555555555556,,215.0,1354.0,49.0,,,0.0,,
26,F-BE90,117,2.1,14.95,-5.0,1.3,-3.846153846153846,246.0,1749.0,97.0,2024-09-01,200.0,200.0,0.0,0.0
27,F-CH90,104,2.1,14.95,40.0,1.1555555555555554,34.61538461538462,218.0,1555.0,86.0,2024-09-01,200.0,200.0,0.0,0.0
28,F-DU90,105,2.1,14.95,-3.0,1.1666666666666667,-2.571428571428571,220.0,1570.0,87.0,2024-09-01,200.0,200.0,0.0,0.0
29,F-LI90,76,2.1,14.95,-4.0,0.8444444444444444,-4.7368421052631575,160.0,1136.0,63.0,2024-09-01,200.0,200.0,0.0,0.0
30,F-MX90,2430,2.1,14.95,520.0,27.0,19.25925925925926,5103.0,36328.0,2004.0,2024-09-01,2400.0,2400.0,0.0,0.0
31,F-BE,40,1.8,12.95,0.0,0.4444444444444444,0.0,72.0,518.0,33.0,,,0.0,33.0,59.0
32,F-CH,33,1.8,12.95,7.0,0.36666666666666664,19.090909090909093,59.0,427.0,27.0,,,0.0,20.0,36.0
33,F-DU,25,1.8,12.95,19.0,0.2777777777777778,68.39999999999999,45.0,324.0,21.0,,,0.0,2.0,4.0
34,F-LI,0,1.8,12.95,118.0,0.0,inf,0.0,0.0,0.0,,,0.0,0.0,0.0
35,F-PB,125,1.8,12.95,244.0,1.3888888888888888,175.68,225.0,1619.0,103.0,,,0.0,0.0,0.0
